181407	275720	301442	439340	519106	322305	416108	555593	589688	683494	430619	369729	
223815	248905	333028	470534	599039	337485	331270	371284	403369	659265	305795	238382	
187908	233250	299705	406125	604858	323084	365437	461357	464554	492775	313781	247486	
266423	258060	350759	522782	619567	425073	493531	636149	553239	676518	453156	320447	
304681	418434	386114	616886	671148	186846	219047	391333	533096	606848	407760	319340	
337843	367261	390197	662745	681953	539536	573582	508450	572277	749783	343064	293427	
316862	294471	265204	476448	438351	256415	253406	297838	376280	1002216	290911	236590	
164895	278529	297742	438924	476485	369506	281104	273252	642642	541941	386239	296312	
223487	373630	362326	550978	574014	439895	361212	444979	669361	582843	424375	339646	
387984	101969	33461
