¿¬µµ,°æº¹±Ã,Ã¢°æ±Ã,Ã¢´ö±Ã,´ö¼ö±Ã
2011³â,"1,284,747","26,361","443,502","147,315"
2012³â,"1,423,823","39,634","587,397","167,739"
2013³â,"1,446,982","29,179","496,714","144,338"
2014³â,"1,917,948","34,727","454,707","182,096"
2015³â,"1,714,487","41,602","405,780","178,593"
2016³â,"2,897,935","49,749","532,728","277,782"
2017³â,"1,168,321","63,906","452,562","327,755"
2018³â,"1,022,324","76,838","588,875","344,953"
2019³â,"1,471,909","93,717","546,648","368,796"
